Ddistrict,,Population,Area,Density
Alluri Sitharama Raju,,"954,000","12,251",77.87
Anakapalli,,"1,727,000","4,292",402.38
Ananthapuramu,,"2,241,100","10,205",219.608
Annamayya,,"1,697,300","7,954",213.389
Bapatla,,"1,587,000","3,829",414.47
Chittoor,,"1,873,000","6,855",273.23
Dr. B.R. Ambedkar Konaseema,,"1,719,100","2,083",825.3
East Godavari,,"1,832,300","2,561",715.46
Eluru,,"2,071,700","6,679",310.181
Guntur,,"2,091,000","2,443",855.9
Kakinada,,"2,092,300","3,019",693.04
Krishna,,"1,735,000","3,775",459.602
Kurnool,,"2,271,700","7,980",284.67
Nandyal,,"1,781,800","9,682",184.032
Nellore,,"2,469,700","10,441",236
NTR,,"2,218,000","3,316",668.88
Palnadu,,"2,042,000","7,298",279.8
Parvathipuram Manyam,,"925,300","3,659",252.88
Prakasam,,"2,288,000","14,322",160
Srikakulam,,"2,191,471","4,591",477.34
Sri Sathya Sai,,"1,840,000","8,925",206.2
Tirupati,,"2,197,000","8,231",241.72
Visakhapatnam,,"1,959,500","1,048",1869.8
Vizianagaram,,"1,930,800","4,122",468.41
West Godavari,,"1,780,000","2,178",817.3
YSR Kadapa,,"2,060,700","11,228",183.532
,,,,
,,,,
,,,,
Anjaw,,"21,089","6,190",3
Changlang,,"147,951","4,662",32
East Kameng,,"78,413","4,134",19
East Siang,,"99,019","3,603",27
Itanagar Capital Complex,,"122,930",200,614.65
Kamle,,"22,256",200,111
Kra Daadi,,"22,290",2202,10
Kurung Kumey,,"89,717","6,040",15
Lepa Rada,,–,–,–
Lohit,,"145,538","2,402",61
Longding,,"60,000","1,200",50
Lower Dibang Valley,,"53,986","3,900",14
Lower Siang,,"22,630",–,–
Lower Subansiri,,"82,839","3,508",24
Namsai,,"95,950","1,587",60
Pakke-Kessang,,"15,358","1,932",7.9
Papum Pare,,"176,385","2,875",61
Shi Yomi,,"13,310","2,875",5
Siang,,"31,920","2,919",11
Tawang,,"49,950","2,085",24
Tirap,,"111,997","2,362",47
Upper Dibang Valley,,"8,004","9,129",1
Upper Siang,,"35,289","6,188",6
Upper Subansiri,,"83,205","7,032",12
West Kameng,,"87,013","7,422",12
West Siang,,"112,272","8,325",13
Keyi Panyor,,"30,000",,
Bichom,,"9,710",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Baksa,,"953,773","2,008",475
Bajali,,"253,816",418,610
Barpeta,,"1,693,622","3,245",520
Biswanath,,"612,491",1415,430
Bongaigaon,,"732,639","1,724",425
Cachar,,"1,736,319","3,786",459
Charaideo,,"471,418","1,069",440
Chirang,,"481,818","1,975",244
Darrang,,"908,090","1,849",491
Dhemaji,,"688,077","3,237",213
Dhubri,,"1,948,632","2,838",687
Dibrugarh,,"1,327,748","3,381",393
Dima Hasao,,"213,529","4,888",44
Goalpara,,"1,008,959","1,824",553
Golaghat,,"1,058,674","3,502",302
Hailakandi,,"659,260","1,327",497
Hojai,,"931,218",1686,550
Jorhat,,"1,091,295","2,851",383
Kamrup,,"1,517,202","3,480",436
Kamrup Metropolitan,,"1,260,419",627,"2,010"
Karbi Anglong,,"965,280","10,434",93
Karimganj,,"1,217,002","1,809",673
Kokrajhar,,"886,999","3,129",283
Lakhimpur,,"1,040,644","2,277",457
Majuli,,"167,304",880,300
Morigaon,,"957,853","1,704",562
Nagaon,,"2,826,006","3,831",738
Nalbari,,"769,919","1,009",763
Sivasagar,,"1,150,253","2,668",431
Sonitpur,,"1,925,975","5,324",362
South Salmara-Mankachar,,"555,114",568,980
Tamulpur,,"389,150",884,440
Tinsukia,,"1,316,948","3,790",347
Udalguri,,"832,769","1,676",497
West Karbi Anglong,,"300,320","3,035",99
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Araria,,"2,806,200","2,829",992
Arwal,,"700,843",638,"1,098"
