,CandidateID,Designation,Graduation,Qualification,Experience,Industry,Previous_Organizations,Incentive,Source,Ticket_Size,Family_Members,Earning_Members,Dependent_Members,Department,DOJ,Location,R_Pincode,B_Pincode,Performance,current / saving account [casa],current account â saving account/others,msme / sme loan,housing loan,others,used car loan,personal loan,fmcg,loan against property/ secured business loan,car loan / used car loan,unsecure business loan,Days_passed,R_District,R_Region,R_State,B_District,B_Region,B_State,Distance_Kilometers,R_Population,R_Density,B_Population,B_Density,Company_1,Company_2,assamese,bengali,gujarati,hindi,kannada,kashmiri,konkani,malayalam,manipuri,marathi,nepali,oriya,punjabi,sanskrit,english,sindhi,tamil,telugu,urdu,bodo,santhali,maithili,dogri,Skill,Skill_count
0,emp0669,dst,full time,graduate,5.0,nbfc,4.0,12000,others,1000000,2,1.0,1,mass affluent housing,2023-04-05,6333,500036,500016.0,0,0,0,1,0,1,0,0,0,0,0,0,371,hyderabad,hyderabad city region,telangana,hyderabad,hyderabad city region,telangana,14.786711900932874,3943323.0,18172.0,3943323.0,18172.0,Aditya_Birla_Group,adityabirlacapital,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"['sales', 'communication', nan]",3
1,emp0273,dst,full time,graduate,1.5,banking,2.0,8000,advertisement / job portal,150000,4,2.0,4,sales,2023-07-11,6048,621210,620001.0,1,0,0,0,0,0,0,1,0,0,0,0,274,tiruchirappalli,"central region, trichirapalli",tamil nadu,tiruchirappalli,"central region, trichirapalli",tamil nadu,46.92391026240906,2713858.0,602.0,2713858.0,602.0,IDFC_First_Bank,idfcfirstbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,['sales'],1
2,emp0300,dst,full time,under graduate,4.5,banking,4.0,20000,referral,2000000,4,1.0,2,affordable housing,2023-02-13,6329,627808,627811.0,1,0,0,1,1,0,1,1,0,0,0,0,422,tenkasi,"southern region, madurai",tamil nadu,tenkasi,"southern region, madurai",tamil nadu,9.11810218046763,1407627.0,483.0,1407627.0,483.0,onerouf,linkedin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"['finance', 'communication', nan]",3
3,emp0100,dst,full time,post graduate,4.5,banking,2.0,12000,consultant / partners,2000000,4,2.0,3,affordable housing,2022-02-14,6263,221003,221010.0,1,0,0,0,0,0,0,0,0,0,0,0,786,varanasi,varanasi region,uttar pradesh,varanasi,varanasi region,uttar pradesh,6.870759491460856,3682194.0,2399.0,3682194.0,2399.0,Kotak_Mahindra_Bank,wikiwand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['finance', 'ip', 'sales', 'investments', 'credit', 'loans', 'ssis', nan]",8
4,emp0319,dst,full time,post graduate,1.0,others,2.0,0,others,0,4,1.0,3,affordable housing,2023-04-20,6059,636004,636004.0,0,0,0,0,0,1,0,0,0,0,0,0,356,salem,"western region, coimbatore",tamil nadu,salem,"western region, coimbatore",tamil nadu,-1.0,3480008.0,663.0,3480008.0,663.0,RPG_Group,RP-Sanjiv_Goenka_Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"['management', 'marketing', 'ip', 'sales', 'communication']",5
5,emp0110,dst,full time,post graduate,10.0,nbfc,2.0,5000,others,150000,2,1.0,3,affordable housing,2021-08-12,6292,110091,201301.0,0,0,0,0,1,0,0,0,0,0,0,0,972,east,divreportingcircle,delhi,gautam buddha nagar,lucknow  hq region,uttar pradesh,3.9001434009864377,,,1674714.0,1252.0,Piramal_Capital_and_Housing_Finance_Limited,Piramal_Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['negotiation', 'management', 'finance', 'marketing', 'ip', 'time management', 'sales', 'chemistry', 'retail banking', 'underwriting', 'real estate', 'credit', 'human resources', 'networking', 'banking', 'microsoft office', 'retail', 'leadership', 'brokers', 'business development', nan]",21
6,emp0034,dst,full time,graduate,2.0,banking,4.0,12000,referral,2000000,6,3.0,3,affordable housing,2023-11-05,6264,273407,273001.0,1,0,0,0,1,0,0,0,0,0,0,0,157,gorakhpur,gorakhpur region,uttar pradesh,gorakhpur,gorakhpur region,uttar pradesh,34.90706779568602,4436275.0,1336.0,4436275.0,1336.0,ICICI_Bank,icicibank,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['ip', 'sales', 'banking', 'loans', 'leadership', 'communication']",6
7,emp0918,dst,full time,graduate,6.5,nbfc,4.0,12000,external consultant,1500000,4,,2,sales,2021-10-27,6020,502325,500029.0,0,0,0,0,0,0,1,0,0,0,0,0,896,sangareddy,hyderabad city region,telangana,hyderabad,hyderabad city region,telangana,22.121878789454914,1527628.0,347.0,3943323.0,18172.0,Naan,Naan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"['accounting', 'finance', 'ip', 'sales', 'research', 'financial services', 'tax', 'customer service', 'loans', 'training', 'communication', nan, 'securities']",13
8,emp0235,dst,full time,post graduate,2.0,banking,2.0,12000,referral,2000000,4,2.0,2,sales,2023-10-16,6048,620102,620001.0,0,0,0,0,0,0,0,1,0,0,0,0,177,tiruchirappalli,"central region, trichirapalli",tamil nadu,tiruchirappalli,"central region, trichirapalli",tamil nadu,5.502473459875984,2713858.0,602.0,2713858.0,602.0,IDFC_First_Bank,idfcfirstbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"['management', 'marketing', 'ip', 'sales', 'customer relations', 'customer service', 'customer relationship management', 'communication']",8
9,emp0582,dst,full time,graduate,3.0,nbfc,2.0,8000,referral,2000000,6,0.0,4,sales,2022-09-08,6310,490011,490023.0,0,0,0,0,1,1,0,0,0,0,0,0,580,durg,divreportingcircle,chhattisgarh,durg,divreportingcircle,chhattisgarh,42.55620304711941,1721726.0,770.0,1721726.0,770.0,Tata_Capital,tatacapital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['marketing', 'ip', 'sales', 'java', 'html', 'team building']",6
